ID,mox,mox_FDR,moxYG,moxYG_FDR,logCPM
YBR041W,0.608550796,0.09547913,0.819684451,0.013831551,6.586493618
YBR042C,0.456707278,0.272934166,0.097623887,0.889398754,5.188382835
YBR043C,0.129818881,0.789382283,0.420096873,0.253360858,5.948565397
YBR044C,-1.271105031,5.04E-05,-0.988261454,0.002324356,3.907698129
YBR045C,-0.371598474,0.502226761,-0.126153171,0.885406474,1.074185526
YBR046C,-0.274218884,0.508606238,-0.211726051,0.650920134,3.941523816
YBR047W,-0.046895267,0.975543633,-0.514865132,0.211606299,3.34865221
YBR048W,0.544076077,0.288888397,0.783612604,0.093327059,9.744373895
YBR049C,-0.03402864,0.985093017,-0.719250181,0.028852166,3.944422144
YBR050C,-2.673330212,2.52E-11,-2.514486144,5.99E-10,1.138555247
YBR051W,-1.549881265,0.069159437,-1.667629562,0.038194135,-1.130827982
YBR052C,-0.95303786,0.007324592,-1.378768253,3.89E-05,5.653021951
YBR053C,-0.977198363,0.035687628,-0.116030191,0.896003516,5.991476301
YBR054W,1.946107846,3.70E-06,4.131344408,1.56E-22,6.899827825
YBR055C,0.35067716,0.416929808,-0.336318266,0.457087438,3.35108022
YBR056C-B,0,1,0,1,-4.776081025
YBR056W,-0.395044577,0.320278011,-0.687482612,0.047091589,5.032292585
YBR056W-A,-1.225591433,0.000571391,0.179679565,0.742806388,2.558206377
YBR057C,0.569766493,0.212831538,-0.191518626,0.762020887,2.702043123
YBR058C,0.098510726,0.843108546,-0.457931888,0.170467649,4.364125444
YBR058C-A,0.45048978,0.238168385,0.277316125,0.520675424,4.765583214
YBR059C,-0.084330051,0.892703189,0.159565796,0.758491597,4.304119257
YBR060C,0.170841256,0.721629089,-0.436506061,0.274368291,3.553165437
YBR061C,0.213854351,0.670392634,-0.066448175,0.950539654,3.557923423
YBR062C,-1.283429308,4.44E-06,-1.347133926,1.52E-06,3.582243742
YBR063C,0.271365051,0.630240664,-0.048623522,0.994014614,2.658464372
YBR064W,0.86796185,0.326127123,-0.002561052,1,-0.937770211
YBR065C,0.484890991,0.440352549,-0.519579181,0.406471293,1.858765821
YBR066C,-0.669699842,0.058819459,-0.528933125,0.14537533,3.448572291
YBR067C,0.049919417,0.990094281,0.358370589,0.610676974,9.829116194
YBR068C,0.569866378,0.242484665,0.619237775,0.191490012,10.14689141
YBR069C,0.981228886,0.006925961,1.020051253,0.004123623,6.884855512
YBR070C,0.043757086,0.966580129,-0.245347404,0.564699018,5.219458305
YBR071W,-0.098623017,0.855234608,0.542509141,0.116375881,4.647118278
YBR072C-A,-1.3023148,0.259817202,-2.330852231,0.066173249,-3.222215204
